,algorithm,maze size,success,path length,time
0,A*,small,True,22,0.07384848594665527
1,A*,medium,True,140,1.4490923881530762
2,A*,large,False,,19.84898281097412
3,greedy,small,True,43,0.04990792274475098
4,greedy,medium,False,,19.842084407806396
5,greedy,large,False,,208.33020305633545
6,A*,small,True,20,0.06881237030029297
7,A*,medium,True,128,1.5628345012664795
8,A*,large,False,,18.01384997367859
9,greedy,small,True,36,0.05084967613220215
10,greedy,medium,True,160,3.7799456119537354
11,greedy,large,False,,104.56986975669861
12,A*,small,True,22,0.0708475112915039
13,A*,medium,True,130,1.5049564838409424
14,A*,large,False,,19.99454927444458
15,greedy,small,True,44,0.05684852600097656
16,greedy,medium,True,172,3.8407766819000244
17,greedy,large,False,,459.8156409263611
18,A*,small,True,21,0.07763004302978516
19,A*,medium,True,146,1.8876748085021973
20,A*,large,False,,21.844985485076904
21,greedy,small,True,44,0.058843374252319336
22,greedy,medium,True,175,4.118782997131348
23,greedy,large,False,,474.07277727127075
24,A*,small,True,22,0.05488157272338867
25,A*,medium,True,141,1.3914391994476318
26,A*,large,False,,18.83868145942688
27,greedy,small,True,40,0.0458981990814209
28,greedy,medium,True,169,4.704462289810181
29,greedy,large,False,,2314.3169300556183
30,A*,small,True,16,0.05284857749938965
31,A*,medium,True,131,1.3543815612792969
32,A*,large,False,,17.81335735321045
33,greedy,small,True,40,0.034903526306152344
34,greedy,medium,False,,21.385961055755615
35,greedy,large,False,,173.4994375705719
36,A*,small,True,26,0.06681990623474121
37,A*,medium,True,132,1.4112651348114014
38,A*,large,False,,18.25425100326538
39,greedy,small,True,38,0.040899038314819336
40,greedy,medium,True,151,8.908228397369385
41,greedy,large,False,,657.7776870727539
42,A*,small,True,22,0.06083536148071289
43,A*,medium,False,,1.664562463760376
44,A*,large,False,,19.18489670753479
45,greedy,small,True,41,0.02693915367126465
46,greedy,medium,True,166,2.017596960067749
47,greedy,large,False,,106.4673924446106
48,A*,small,False,,0.07978582382202148
49,A*,medium,False,,1.672555923461914
50,A*,large,False,,19.862909078598022
51,greedy,small,False,,0.7171046733856201
52,greedy,medium,False,,3.3470916748046875
53,greedy,large,False,,316.93471455574036
54,A*,small,False,,0.1994633674621582
55,A*,medium,False,,2.394540309906006
56,A*,large,False,,21.74787163734436
57,greedy,small,False,,1.0322325229644775
58,greedy,medium,True,157,6.955455541610718
59,greedy,large,False,,370.97438955307007
60,A*,small,True,26,0.0678551197052002
61,A*,medium,True,145,1.5438859462738037
62,A*,large,False,,24.14102530479431
63,greedy,small,True,43,0.07333779335021973
64,greedy,medium,True,176,3.0982413291931152
65,greedy,large,False,,218.43811011314392
66,A*,small,True,18,0.05190277099609375
67,A*,medium,True,144,1.5707910060882568
68,A*,large,False,,20.703171730041504
69,greedy,small,True,36,0.07184529304504395
70,greedy,medium,True,166,2.9401447772979736
71,greedy,large,False,,188.8169023990631
72,A*,small,True,20,0.05186009407043457
73,A*,medium,False,,1.5229136943817139
74,A*,large,False,,19.838331937789917
75,greedy,small,True,42,0.041887760162353516
76,greedy,medium,False,,6.518574476242065
77,greedy,large,False,,21.419747352600098
78,A*,small,True,19,0.05389237403869629
79,A*,medium,True,139,1.355412483215332
80,A*,large,False,,17.042460680007935
81,greedy,small,True,34,0.04887223243713379
82,greedy,medium,True,167,6.246269464492798
83,greedy,large,False,,279.97822642326355
84,A*,small,True,20,0.08078503608703613
85,A*,medium,True,134,1.6207084655761719
86,A*,large,False,,20.307681798934937
87,greedy,small,True,38,0.0468747615814209
88,greedy,medium,True,155,4.808181285858154
89,greedy,large,False,,326.89019680023193
90,A*,small,True,22,0.07379388809204102
91,A*,medium,False,,1.7682712078094482
92,A*,large,False,,18.72096300125122
93,greedy,small,True,36,0.0359041690826416
94,greedy,medium,False,,32.9360032081604
95,greedy,large,False,,2645.45636510849
96,A*,small,True,24,0.23839139938354492
97,A*,medium,True,138,1.4960112571716309
98,A*,large,False,,21.717950105667114
99,greedy,small,True,40,0.027964353561401367
100,greedy,medium,False,,6.776930332183838
101,greedy,large,False,,66.71069526672363
102,A*,small,True,22,0.06482982635498047
103,A*,medium,True,141,1.4620916843414307
104,A*,large,False,,19.901840925216675
105,greedy,small,True,40,0.10670709609985352
106,greedy,medium,True,161,8.106600046157837
107,greedy,large,False,,153.24582958221436
108,A*,small,True,28,0.08875465393066406
109,A*,medium,False,,1.7642490863800049
110,A*,large,False,,20.067389488220215
111,greedy,small,True,37,0.05485343933105469
112,greedy,medium,True,172,13.003012657165527
113,greedy,large,False,,229.09276413917542
114,A*,small,True,24,0.06281518936157227
115,A*,medium,True,142,1.4671077728271484
116,A*,large,False,,18.633198022842407
117,greedy,small,True,43,0.04890561103820801
118,greedy,medium,True,166,4.76728367805481
119,greedy,large,False,,52.29522180557251
